,Alerta de Punto de Reposición,RF-006,"El sistema debe desplegar la interfaz de detalle para cada prenda, mostrando de forma obligatoria la imagen principal, descripción, precio detallista y la disponibilidad de stock filtrada en tiempo real según la combinación de atributos seleccionada.",RN_010,"El sistema solo permitirá visualizar y seleccionar tallas cuyo stock_disponible en la tabla de variantes sea mayor a cero. Si una variante específica alcanza el punto_reposicion, el sistema debe generar una alerta visual interna en el panel administrativo, pero mantendrá la venta en el front-end público mientras el stock no sea cero.",RI_006,"Realiza una consulta SELECT relacional entre las tablas productos (campos: nombre_producto, descripcion_producto, precio_detallista, url_imagen_principal) e inventario_variantes (campo: stock_disponible), condicionada a que estado_visibilidad = 1."
,Gestión de Categorías,RF-007,"El sistema debe permitir la administración (creación, edición, consulta y cambio de estado) de las categorías del catálogo para organizar jerárquicamente las prendas.",RN_011,No se puede registrar una categoría con un nombre duplicado. No se permite desactivar una categoría si contiene productos activos vinculados.,RI_09,"Tabla categorias: id_categoria (PK), nombre_categoria, descripcion, estado."
,Visibilidad del Catálogo Público,RF-008,"El sistema debe mostrar un catálogo de productos visible de manera pública, permitiendo filtrar las prendas por categorías.",RN_011,"Solamente los productos que se encuentren registrados como activos podrán mostrarse como disponibles para la compra dentro del catálogo. 
Los productos inactivos, eliminados o que no cumplan con la información mínima requerida no deberán aparecer como disponibles para realizar pedidos, aunque sus registros podrán conservarse para efectos administrativos y de historial.",RI_09,"Tabla producto: id_producto (PK), id_categoria (FK), nombre, descripcion, precio, imagen, estado."
,Gestión de Colores y Tallas Maestras,RF-PROD-004,Mantenimiento CRUD de tablas maestras tallas y colores.,RN_PROD_004,Validación de no duplicidad de nombres/códigos hex.,RI_PROD_004,"Tablas tallas: id_talla (PK), nombre_talla, estado. Tabla colores: id_color (PK), nombre_color, codigo_hex, estado."
,Galería de Imágenes de Producto,RF-PROD-005,Carga de 1 a N imágenes por prenda en producto_imagen.,RN_PROD_005,Validación de formato y asignación de flag es_principal.,RI_PROD_005,"Tabla producto_imagen: id_imagen (PK), id_producto (FK), url_imagen, formato, es_principal, fecha_carga."
,Visualización de Atributos del Producto,RF-009,El sistema debe permitir a las clientas ver el detalle del producto y seleccionar tallas y colores específicos.,RN_07,"Cuando un producto posea diferentes tallas o colores, el cliente deberá seleccionar los atributos disponibles antes de agregarlo al carrito. El sistema deberá mostrar únicamente las combinaciones de talla y color que se encuentren registradas y disponibles para el producto seleccionado, evitando que se realicen pedidos con características que no existen en el inventario.",RI_07,"Tabla producto_atributo: id_producto_atributo (PK), id_producto (FK), id_talla (FK), id_color (FK), estado."
Carrito de Compras,Carrito de Compras e Inyección de Stock,RF-010,El sistema debe permitir adicionar prendas al carrito y validar la disponibilidad de existencias en tiempo real.,RN_08,El sistema valida el inventario en el back-end. No se puede añadir una cantidad mayor al stock disponible.,RI_08,Afecta temporalmente las tablas pedido_detalle e inventario_variantes.
,Captura de Datos de Despacho,RF-011,El sistema debe capturar y estructurar la información de despacho al finalizar la compra antes de remitir al cliente a WhatsApp.,RN_09,"Antes de enviar la información del pedido a WhatsApp, la clienta debe proporcionar los datos necesarios para realizar el despacho.",RI_10,"Tabla pedidos_cabecera: id_pedido (PK), id_usuario (FK), direccion, barrio, ciudad, telefono, observaciones, fecha_entrega, estado."
,Modificación y Vaciado de Carrito,RF-CART-010,Permite alterar cantidades o eliminar ítems recalculando subtotales y liberando reservas temporales de stock.,RN_CART_010,"Toda alteración en las cantidades del carrito (incremento, decremento, eliminación de línea o vaciado total) debe validarse directamente en el backend contra la disponibilidad real en la tabla inventario para la combinación de talla y color seleccionada; si la cantidad supera el stock disponible la operación debe rechazarse, y ante cualquier cambio o vaciado confirmado, el sistema debe recalcular de forma inmediata los subtotales, actualizar el monto total a pagar y liberar cualquier reserva de existencias previamente retenida.",RI_CART_010,"Tablas carrito y detalle_carrito: id_carrito (PK), id_detalle (PK), id_producto (FK), id_talla (FK), id_color (FK), cantidad, precio, subtotal. Control de reservas: cantidad_reservada y fecha_expiracion."
Pedidos,Control del Ciclo de Vida del Pedido,RF-012,El panel administrativo debe permitir modificar los estados logísticos de los pedidos capturados.,RN_05,Las transiciones válidas son: Pendiente de Pago -> Pago Confirmado -> En Empaque -> Despachado -> Entregado o Cancelado.,RI_05,Lee y actualiza la tabla pedidos_cabecera y su relación con estados_pedido.
,Reportes e Indicadores de Gestión,RF-013,El sistema debe generar reportes de ventas por vendedora y permitir la exportación de datos transaccionales de la plataforma.,RN_04,"El sistema deberá permitir la generación y consulta de reportes e indicadores únicamente a los usuarios que cuenten con los permisos correspondientes según su rol. Los reportes deberán utilizar la información registrada en el sistema y permitir consultar datos relacionados con ventas, pedidos, inventario y productos, de acuerdo con los filtros y periodos seleccionados por el usuario autorizado.",RI_04,"Tabla reporte: id_reporte (PK), id_usuario (FK), tipo_reporte, fecha_generacion, periodo_inicio, periodo_fin, descripcion."
,Generación y Despacho del Pedido,RF-ORD-001,"Inserta registros en pedidos_cabecera y pedido_detalle, resta stock_disponible en inventario_variantes y concatena la URL de WhatsApp con el resumen codificado.",RN_ORD_001,"La generación del pedido deberá ser transaccional: se crea la cabecera y sus detalles, se descuenta el stock disponible y solo después se construye el enlace de WhatsApp. Si alguna operación falla, no deberá quedar un pedido incompleto ni un descuento de stock sin respaldo.",RI_ORD_001,"Tablas pedidos_cabecera/pedido y pedido_detalle/detalle: id_pedido (PK), id_usuario (FK), fecha_pedido, total, estado, id_producto (FK), id_talla (FK), id_color (FK), cantidad, precio."
,Historial y Rastreo de Pedidos,RF-ORD-002,"Permite a la clienta consultar el estado en tiempo real de sus pedidos (Pendiente, En Empaque, Despachado, etc.).",RN_ORD_002,Una clienta solo podrá consultar sus propios pedidos. Los estados mostrados deberán corresponder al estado registrado en el sistema y actualizarse cuando exista un cambio del pedido.,RI_ORD_002,"Tabla pedido: id_pedido (PK), id_usuario (FK), fecha_pedido, total, estado; historial de estados: id_historial (PK), id_pedido (FK), estado, fecha_hora."
Soporte y FAQ,Consulta Pública de FAQ,RF-FAQ-001,Vista informativa pública de dudas frecuentes leyendo de la tabla faq.,RN_FAQ_001,La vista pública solo deberá mostrar preguntas frecuentes activas y con información completa. El contenido deberá provenir de la base de datos para evitar duplicación manual en la interfaz.,RI_FAQ_001,"Tabla faq: id_faq (PK), pregunta, respuesta, id_categoria (FK), estado, orden, fecha_actualizacion."
,Organización de las FAQ,RF-FAQ-002,El sistema debe permitir consultar públicamente las preguntas frecuentes.,RN_FAQ_002,Las preguntas frecuentes activas deberán ser consultables sin autenticación y las preguntas desactivadas no deberán mostrarse al público.,RI_FAQ_002,"Tabla faq: id_faq (PK), pregunta, respuesta, estado, fecha_actualizacion."
,Clasificación de FAQ,RF-FAQ-003,El sistema debe organizar las preguntas frecuentes por categorías o temas.,RN_FAQ_003,Cada pregunta frecuente deberá pertenecer a una categoría o tema válido. Las categorías deberán permitir agrupar las preguntas para facilitar la navegación.,RI_FAQ_003,"Tabla categorias_faq: id_categoria (PK), nombre_categoria, estado. Tabla faq: id_faq (PK), id_categoria (FK), pregunta, respuesta."
,Búsqueda de preguntas frecuentes,RF-FAQ-004,El sistema debe permitir a las clientas buscar preguntas frecuentes mediante palabras o términos relacionados con su consulta.,RN_FAQ_004,"La búsqueda deberá ignorar diferencias de mayúsculas y minúsculas y devolver preguntas activas cuyos términos coincidan con la consulta en el título, pregunta o contenido definido para la búsqueda.",RI_FAQ_004,"Parámetros de consulta: termino_busqueda. Datos consultados: id_faq, pregunta, respuesta, id_categoria, estado."
,Gestión de preguntas frecuentes,RF-FAQ-005,"El sistema debe permitir a los usuarios autorizados crear, consultar, actualizar y desactivar preguntas frecuentes desde el módulo administrativo.",RN_FAQ_005,"Solo los usuarios autorizados podrán crear, consultar, actualizar y desactivar preguntas frecuentes. Las operaciones administrativas deberán conservar el historial de cambios.",RI_FAQ_005,"Tabla faq: id_faq (PK), pregunta, respuesta, id_categoria (FK), estado, orden, fecha_creacion, fecha_actualizacion, usuario_actualizacion (FK)."
,Activación y desactivación de FAQ,RF-FAQ-006,El sistema debe permitir activar o desactivar preguntas frecuentes sin eliminar físicamente su información de la base de datos.,RN_FAQ_006,La activación o desactivación modificará únicamente el estado del registro; nunca deberá eliminar físicamente una pregunta frecuente.,RI_FAQ_006,"Tabla faq: id_faq (PK), estado, fecha_actualizacion, usuario_actualizacion (FK)."
,Ordenamiento de preguntas frecuentes,RF-FAQ-007,El sistema debe permitir a los usuarios autorizados establecer el orden en que se mostrarán las preguntas frecuentes en el catálogo público,RN_FAQ_007,Solo los usuarios autorizados podrán cambiar el orden de las preguntas. No podrá existir el mismo valor de orden para dos preguntas dentro de la misma categoría cuando el catálogo requiera orden único.,RI_FAQ_007,"Tabla faq: id_faq (PK), id_categoria (FK), orden, estado."
,Contacto con soporte,RF-SOP-001,El sistema debe proporcionar a las clientas un medio de contacto con el negocio para resolver dudas que no se encuentren disponibles en las preguntas frecuentes.,RN_SOP_001,El medio de contacto deberá estar disponible para las clientas y deberá dirigir la comunicación al canal oficial configurado por el negocio. Los datos enviados deberán corresponder a la consulta realizada y no expondrán información administrativa.,RI_SOP_001,"Configuración de soporte: id_contacto (PK), tipo_contacto, destino, horario_atencion, mensaje_predeterminado, estado."
